description,category
The administrator at the Land Records Office has not held a single accountability meeting with residents of the regional headquarters in over a year.,Governance Issue
Filing this report to flag a minor administrative error in my property registration at the Education Department.,Other
"To get my birth certificate cleared at the Customs Department, the officer openly asked for a 'facilitation fee' of Rs. 50,000.",Bribery
The commissioner at the Education Department has not held a single accountability meeting with residents of Block A in over a year.,Governance Issue
Drinking water supplied by the Rural Development Office near the regional headquarters has tested positive for contamination for months.,Unsafe Public Service
The Rural Development Office has failed to publish its annual budget or spending records for Ward 5 as legally required.,Governance Issue
The commissioner at the Revenue Department misused their position to favor a relative during passport application approval at the district office.,Official Misconduct
"The commissioner took Rs. 10,000 from me and only then stamped my pension file at the Municipal Corporation.",Bribery
A inspector in the Housing Board was found altering official records related to a tender document without authorization.,Official Misconduct
A contractor at the Rural Development Office was seen accepting gifts from a contractor in exchange for favorable treatment at the rural health center.,Official Misconduct
"The sub-registrar at the Water Supply Board demanded Rs. 25,000 in cash before approving my pension file.",Bribery
"Patients at the government hospital in the northern zone office are being treated in unsanitary, overcrowded wards run by the Income Tax Office.",Unsafe Public Service
The surveyor at Ward 5 threatened a citizen for filing a complaint against the Transport Department.,Official Misconduct
Funds allocated for a public project at the central branch were diverted by officials in the Police Department for personal use.,Corruption
The Police Department has failed to publish its annual budget or spending records for the district office as legally required.,Governance Issue
Filing this report to flag a minor administrative error in my tender document at the Income Tax Office.,Other
This is a suggestion for improving queue management at the Municipal Corporation office in the central branch.,Other
The supervisor at the Sanitation Department has not held a single accountability meeting with residents of the northern zone office in over a year.,Governance Issue
The Water Supply Board has failed to publish its annual budget or spending records for the regional headquarters as legally required.,Governance Issue
"The constable took Rs. 1,00,000 from me and only then stamped my passport application at the Public Works Department.",Bribery
The school building managed by the Education Department at the northern zone office has a collapsing roof that puts children at risk.,Unsafe Public Service
Decisions at the Transport Department regarding the regional headquarters are made without any public consultation or transparency.,Governance Issue
An audit revealed the Water Supply Board inflated contractor bills at the northern zone office to siphon off public money.,Corruption
The sub-registrar at the Police Department misused their position to favor a relative during tender document approval at the taluk office.,Official Misconduct
This is a suggestion for improving queue management at the Electricity Board office in the taluk office.,Other
This is a suggestion for improving queue management at the Revenue Department office in the northern zone office.,Other
A administrator in the Customs Department was found altering official records related to a passport application without authorization.,Official Misconduct
I want to report general dissatisfaction with the way the Health Department handled my visit to the district office.,Other
This report concerns a procedural question about the Income Tax Office rather than a specific violation.,Other
An audit revealed the Police Department inflated contractor bills at Sector 12 to siphon off public money.,Corruption
"I would like to commend a tehsildar at the district office for helpful service, but also note a small issue with wait times.",Other
"Ghost employees were found on the payroll of the Water Supply Board at Block A, with salaries pocketed by a director.",Corruption
Decisions at the Electricity Board regarding the district office are made without any public consultation or transparency.,Governance Issue
Funds allocated for a public project at the taluk office were diverted by officials in the Municipal Corporation for personal use.,Corruption
"The Public Works Department awarded a tender to a shell company linked to a supervisor, with kickbacks reported at the municipal complex.",Corruption
Filing this report to flag a minor administrative error in my tender document at the Health Department.,Other
"I would like to commend a sub-registrar at the district office for helpful service, but also note a small issue with wait times.",Other
"Ghost employees were found on the payroll of the Police Department at the regional headquarters, with salaries pocketed by a inspector.",Corruption
"The Water Supply Board awarded a tender to a shell company linked to a commissioner, with kickbacks reported at the taluk office.",Corruption
"Construction at the northern zone office overseen by the Housing Board ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
Relief funds meant for flood victims near the rural health center were misappropriated by staff in the Water Supply Board.,Corruption
The clerk took Rs. 500 from me and only then stamped my building permit at the Transport Department.,Bribery
The public bus operated by the Rural Development Office at the district office has faulty brakes and has not been inspected in years.,Unsafe Public Service
This is a suggestion for improving queue management at the Public Works Department office in Ward 5.,Other
"The Health Department awarded a tender to a shell company linked to a manager, with kickbacks reported at the municipal complex.",Corruption
The supervisor at the Customs Department misused their position to favor a relative during building permit approval at the taluk office.,Official Misconduct
The officer at the taluk office threatened a citizen for filing a complaint against the Rural Development Office.,Official Misconduct
"I was asked to pay a bribe of Rs. 10,000 to the supervisor to speed up my land title application at the rural health center.",Bribery
"The director at the regional headquarters hinted that my land title would be stuck for months unless I gave him Rs. 5,000.",Bribery
There is no functioning grievance redress system at the Health Department office in the central branch.,Governance Issue
Evidence shows the contractor deliberately delayed processing a driving license to harass the applicant at the taluk office.,Official Misconduct
The surveyor at Ward 5 hinted that my pension file would be stuck for months unless I gave him Rs. 500.,Bribery
I was asked to pay a bribe of Rs. 500 to the constable to speed up my passport application application at Ward 5.,Bribery
The Rural Development Office repeatedly misses statutory deadlines for business license processing across the northern zone office with no explanation.,Governance Issue
"Construction at the municipal complex overseen by the Sanitation Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"To get my property registration cleared at the Rural Development Office, the surveyor openly asked for a 'facilitation fee' of Rs. 500.",Bribery
"I would like to commend a director at the central branch for helpful service, but also note a small issue with wait times.",Other
I want to report general dissatisfaction with the way the Municipal Corporation handled my visit to the regional headquarters.,Other
The Rural Development Office has failed to publish its annual budget or spending records for the northern zone office as legally required.,Governance Issue
"Construction at the district office overseen by the Transport Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"The supervisor at the district office hinted that my pension file would be stuck for months unless I gave him Rs. 25,000.",Bribery
Decisions at the Income Tax Office regarding the regional headquarters are made without any public consultation or transparency.,Governance Issue
An audit revealed the Customs Department inflated contractor bills at the taluk office to siphon off public money.,Corruption
Funds allocated for a public project at the municipal complex were diverted by officials in the Education Department for personal use.,Corruption
Evidence shows the contractor deliberately delayed processing a tender document to harass the applicant at the taluk office.,Official Misconduct
"Ghost employees were found on the payroll of the Police Department at the rural health center, with salaries pocketed by a manager.",Corruption
"Construction at the northern zone office overseen by the Electricity Board ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
Drinking water supplied by the Revenue Department near the central branch has tested positive for contamination for months.,Unsafe Public Service
Materials meant for a government scheme in the regional headquarters were sold off by a manager in the Rural Development Office for personal profit.,Corruption
The public bus operated by the Revenue Department at the central branch has faulty brakes and has not been inspected in years.,Unsafe Public Service
"The engineer at the Sanitation Department demanded Rs. 25,000 in cash before approving my business license.",Bribery
"I would like to commend a manager at the northern zone office for helpful service, but also note a small issue with wait times.",Other
The Transport Department has failed to publish its annual budget or spending records for the central branch as legally required.,Governance Issue
"To get my tender document cleared at the Land Records Office, the constable openly asked for a 'facilitation fee' of Rs. 25,000.",Bribery
"Construction at the regional headquarters overseen by the Sanitation Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
The public bus operated by the Sanitation Department at the rural health center has faulty brakes and has not been inspected in years.,Unsafe Public Service
This is a suggestion for improving queue management at the Water Supply Board office in the northern zone office.,Other
The public bus operated by the Transport Department at the district office has faulty brakes and has not been inspected in years.,Unsafe Public Service
Decisions at the Electricity Board regarding the municipal complex are made without any public consultation or transparency.,Governance Issue
"Ghost employees were found on the payroll of the Income Tax Office at Ward 5, with salaries pocketed by a administrator.",Corruption
This is a suggestion for improving queue management at the Sanitation Department office in Block A.,Other
"Ghost employees were found on the payroll of the Water Supply Board at the northern zone office, with salaries pocketed by a tehsildar.",Corruption
A clerk at the Education Department was seen accepting gifts from a contractor in exchange for favorable treatment at the northern zone office.,Official Misconduct
"I was asked to pay a bribe of Rs. 2,000 to the constable to speed up my building permit application at Sector 12.",Bribery
The public bus operated by the Water Supply Board at the district office has faulty brakes and has not been inspected in years.,Unsafe Public Service
There is no functioning grievance redress system at the Public Works Department office in Ward 5.,Governance Issue
There is no functioning grievance redress system at the Electricity Board office in the rural health center.,Governance Issue
The Health Department has failed to publish its annual budget or spending records for Ward 5 as legally required.,Governance Issue
"The Sanitation Department awarded a tender to a shell company linked to a officer, with kickbacks reported at the taluk office.",Corruption
A tehsildar at the Water Supply Board was seen accepting gifts from a contractor in exchange for favorable treatment at the taluk office.,Official Misconduct
The public bus operated by the Income Tax Office at the northern zone office has faulty brakes and has not been inspected in years.,Unsafe Public Service
The school building managed by the Revenue Department at the northern zone office has a collapsing roof that puts children at risk.,Unsafe Public Service
The director at the Rural Development Office misused their position to favor a relative during driving license approval at the regional headquarters.,Official Misconduct
"Ghost employees were found on the payroll of the Land Records Office at Block A, with salaries pocketed by a director.",Corruption
A manager in the Health Department was found altering official records related to a birth certificate without authorization.,Official Misconduct
The school building managed by the Water Supply Board at the municipal complex has a collapsing roof that puts children at risk.,Unsafe Public Service
"Ghost employees were found on the payroll of the Municipal Corporation at the central branch, with salaries pocketed by a manager.",Corruption
Materials meant for a government scheme in the municipal complex were sold off by a manager in the Public Works Department for personal profit.,Corruption
An audit revealed the Rural Development Office inflated contractor bills at the taluk office to siphon off public money.,Corruption
An audit revealed the Customs Department inflated contractor bills at Block A to siphon off public money.,Corruption
The public bus operated by the Education Department at Sector 12 has faulty brakes and has not been inspected in years.,Unsafe Public Service
"The supervisor at the district office hinted that my building permit would be stuck for months unless I gave him Rs. 50,000.",Bribery
"The inspector took Rs. 10,000 from me and only then stamped my land title at the Education Department.",Bribery
"The administrator at the Public Works Department demanded Rs. 2,000 in cash before approving my ration card.",Bribery
"I was asked to pay a bribe of Rs. 50,000 to the sub-registrar to speed up my tender document application at the central branch.",Bribery
I want to report general dissatisfaction with the way the Public Works Department handled my visit to the regional headquarters.,Other
The Revenue Department has failed to publish its annual budget or spending records for Block A as legally required.,Governance Issue
"A tehsildar in the Customs Department refused to process my file unless I paid Rs. 25,000 under the table.",Bribery
The school building managed by the Municipal Corporation at Ward 5 has a collapsing roof that puts children at risk.,Unsafe Public Service
The constable abused their authority by forcing subordinates at the district office to falsify inspection reports.,Official Misconduct
An audit revealed the Electricity Board inflated contractor bills at the central branch to siphon off public money.,Corruption
"A contractor in the Water Supply Board refused to process my file unless I paid Rs. 5,000 under the table.",Bribery
"A director in the Sanitation Department refused to process my file unless I paid Rs. 2,000 under the table.",Bribery
Materials meant for a government scheme in the district office were sold off by a sub-registrar in the Income Tax Office for personal profit.,Corruption
Records requested under the Right to Information Act from the Police Department at Sector 12 were never provided.,Governance Issue
Filing this report to flag a minor administrative error in my land title at the Customs Department.,Other
I want to report general dissatisfaction with the way the Revenue Department handled my visit to the central branch.,Other
"The administrator at Sector 12 hinted that my ration card would be stuck for months unless I gave him Rs. 50,000.",Bribery
Filing this report to flag a minor administrative error in my passport application at the Municipal Corporation.,Other
"The constable took Rs. 50,000 from me and only then stamped my business license at the Water Supply Board.",Bribery
Materials meant for a government scheme in Sector 12 were sold off by a council member in the Municipal Corporation for personal profit.,Corruption
Evidence shows the manager deliberately delayed processing a birth certificate to harass the applicant at the taluk office.,Official Misconduct
The public bus operated by the Water Supply Board at the municipal complex has faulty brakes and has not been inspected in years.,Unsafe Public Service
"The tehsildar took Rs. 5,000 from me and only then stamped my birth certificate at the Housing Board.",Bribery
The supervisor at the Rural Development Office has not held a single accountability meeting with residents of Ward 5 in over a year.,Governance Issue
The Customs Department repeatedly misses statutory deadlines for driving license processing across the central branch with no explanation.,Governance Issue
Filing this report to flag a minor administrative error in my pension file at the Electricity Board.,Other
"The Electricity Board awarded a tender to a shell company linked to a inspector, with kickbacks reported at the taluk office.",Corruption
The school building managed by the Water Supply Board at Sector 12 has a collapsing roof that puts children at risk.,Unsafe Public Service
Filing this report to flag a minor administrative error in my building permit at the Municipal Corporation.,Other
There is no functioning grievance redress system at the Water Supply Board office in the regional headquarters.,Governance Issue
A administrator at the Water Supply Board was seen accepting gifts from a contractor in exchange for favorable treatment at the municipal complex.,Official Misconduct
The manager at the central branch threatened a citizen for filing a complaint against the Income Tax Office.,Official Misconduct
There is no functioning grievance redress system at the Municipal Corporation office in the municipal complex.,Governance Issue
The Sanitation Department repeatedly misses statutory deadlines for pension file processing across Block A with no explanation.,Governance Issue
This is a suggestion for improving queue management at the Income Tax Office office in the taluk office.,Other
"The manager at Block A hinted that my tender document would be stuck for months unless I gave him Rs. 50,000.",Bribery
I want to report general dissatisfaction with the way the Education Department handled my visit to the municipal complex.,Other
Funds allocated for a public project at the taluk office were diverted by officials in the Water Supply Board for personal use.,Corruption
"Construction at the central branch overseen by the Rural Development Office ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"The officer took Rs. 25,000 from me and only then stamped my passport application at the Health Department.",Bribery
"Patients at the government hospital in the rural health center are being treated in unsanitary, overcrowded wards run by the Land Records Office.",Unsafe Public Service
"I was asked to pay a bribe of Rs. 2,000 to the tehsildar to speed up my ration card application at the municipal complex.",Bribery
"The Sanitation Department awarded a tender to a shell company linked to a council member, with kickbacks reported at the district office.",Corruption
I want to report general dissatisfaction with the way the Land Records Office handled my visit to the district office.,Other
This report concerns a procedural question about the Transport Department rather than a specific violation.,Other
The manager at the regional headquarters threatened a citizen for filing a complaint against the Rural Development Office.,Official Misconduct
A clerk in the Revenue Department was found altering official records related to a pension file without authorization.,Official Misconduct
"The Revenue Department facility at Ward 5 has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
A sub-registrar in the Water Supply Board was found altering official records related to a land title without authorization.,Official Misconduct
Evidence shows the contractor deliberately delayed processing a birth certificate to harass the applicant at the municipal complex.,Official Misconduct
"I would like to commend a council member at Block A for helpful service, but also note a small issue with wait times.",Other
"The inspector took Rs. 1,00,000 from me and only then stamped my business license at the Income Tax Office.",Bribery
The inspector at the Sanitation Department misused their position to favor a relative during birth certificate approval at Sector 12.,Official Misconduct
Materials meant for a government scheme in the northern zone office were sold off by a constable in the Water Supply Board for personal profit.,Corruption
The constable at Ward 5 threatened a citizen for filing a complaint against the Health Department.,Official Misconduct
The school building managed by the Income Tax Office at Sector 12 has a collapsing roof that puts children at risk.,Unsafe Public Service
The engineer at the Revenue Department misused their position to favor a relative during passport application approval at Sector 12.,Official Misconduct
Decisions at the Rural Development Office regarding the taluk office are made without any public consultation or transparency.,Governance Issue
This is a suggestion for improving queue management at the Rural Development Office office in the regional headquarters.,Other
The inspector at the Education Department has not held a single accountability meeting with residents of Ward 5 in over a year.,Governance Issue
The director abused their authority by forcing subordinates at the district office to falsify inspection reports.,Official Misconduct
Materials meant for a government scheme in the northern zone office were sold off by a tehsildar in the Municipal Corporation for personal profit.,Corruption
The administrator at the Revenue Department misused their position to favor a relative during tender document approval at Sector 12.,Official Misconduct
Records requested under the Right to Information Act from the Rural Development Office at the taluk office were never provided.,Governance Issue
"The clerk at the Rural Development Office demanded Rs. 2,000 in cash before approving my land title.",Bribery
The public bus operated by the Sanitation Department at the northern zone office has faulty brakes and has not been inspected in years.,Unsafe Public Service
There is no functioning grievance redress system at the Revenue Department office in the rural health center.,Governance Issue
"The clerk took Rs. 2,000 from me and only then stamped my birth certificate at the Public Works Department.",Bribery
A constable at the Income Tax Office was seen accepting gifts from a contractor in exchange for favorable treatment at the municipal complex.,Official Misconduct
A supervisor in the Health Department was found altering official records related to a land title without authorization.,Official Misconduct
"Construction at the central branch overseen by the Public Works Department ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
The sub-registrar at the Police Department misused their position to favor a relative during ration card approval at the taluk office.,Official Misconduct
The commissioner abused their authority by forcing subordinates at the rural health center to falsify inspection reports.,Official Misconduct
The Public Works Department has failed to publish its annual budget or spending records for Sector 12 as legally required.,Governance Issue
Drinking water supplied by the Transport Department near the taluk office has tested positive for contamination for months.,Unsafe Public Service
A commissioner at the Education Department was seen accepting gifts from a contractor in exchange for favorable treatment at the district office.,Official Misconduct
This report concerns a procedural question about the Sanitation Department rather than a specific violation.,Other
Drinking water supplied by the Public Works Department near the rural health center has tested positive for contamination for months.,Unsafe Public Service
"To get my land title cleared at the Municipal Corporation, the inspector openly asked for a 'facilitation fee' of Rs. 50,000.",Bribery
"The tehsildar at the Police Department demanded Rs. 1,00,000 in cash before approving my ration card.",Bribery
"The Public Works Department awarded a tender to a shell company linked to a council member, with kickbacks reported at Sector 12.",Corruption
I am unsure which department is responsible for an issue I noticed near the district office.,Other
A administrator at the Public Works Department was seen accepting gifts from a contractor in exchange for favorable treatment at Ward 5.,Official Misconduct
"I would like to commend a director at the rural health center for helpful service, but also note a small issue with wait times.",Other
"The Revenue Department awarded a tender to a shell company linked to a administrator, with kickbacks reported at the central branch.",Corruption
"Construction at the municipal complex overseen by the Electricity Board ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
Materials meant for a government scheme in the central branch were sold off by a clerk in the Housing Board for personal profit.,Corruption
The administrator at the Income Tax Office misused their position to favor a relative during land title approval at the northern zone office.,Official Misconduct
Relief funds meant for flood victims near the central branch were misappropriated by staff in the Electricity Board.,Corruption
"The director took Rs. 5,000 from me and only then stamped my tender document at the Revenue Department.",Bribery
"Construction at the rural health center overseen by the Land Records Office ignored safety codes, leading to a scaffolding collapse.",Unsafe Public Service
"The sub-registrar at the rural health center hinted that my pension file would be stuck for months unless I gave him Rs. 50,000.",Bribery
"To get my property registration cleared at the Public Works Department, the commissioner openly asked for a 'facilitation fee' of Rs. 500.",Bribery
This is a suggestion for improving queue management at the Sanitation Department office in the rural health center.,Other
The public bus operated by the Housing Board at the central branch has faulty brakes and has not been inspected in years.,Unsafe Public Service
I am unsure which department is responsible for an issue I noticed near Ward 5.,Other
"The sub-registrar at the Revenue Department demanded Rs. 10,000 in cash before approving my business license.",Bribery
"The Customs Department facility at the district office has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
The public bus operated by the Education Department at Ward 5 has faulty brakes and has not been inspected in years.,Unsafe Public Service
I want to report general dissatisfaction with the way the Education Department handled my visit to the northern zone office.,Other
The Water Supply Board repeatedly misses statutory deadlines for property registration processing across the taluk office with no explanation.,Governance Issue
The tehsildar at the Health Department has not held a single accountability meeting with residents of the district office in over a year.,Governance Issue
The public bus operated by the Customs Department at Block A has faulty brakes and has not been inspected in years.,Unsafe Public Service
Decisions at the Electricity Board regarding the northern zone office are made without any public consultation or transparency.,Governance Issue
"The tehsildar at the taluk office hinted that my building permit would be stuck for months unless I gave him Rs. 5,000.",Bribery
"The surveyor at the taluk office hinted that my passport application would be stuck for months unless I gave him Rs. 2,000.",Bribery
"The constable at the Sanitation Department demanded Rs. 50,000 in cash before approving my birth certificate.",Bribery
A tehsildar in the Electricity Board was found altering official records related to a driving license without authorization.,Official Misconduct
The Education Department repeatedly misses statutory deadlines for pension file processing across the central branch with no explanation.,Governance Issue
The contractor abused their authority by forcing subordinates at the rural health center to falsify inspection reports.,Official Misconduct
Relief funds meant for flood victims near the rural health center were misappropriated by staff in the Revenue Department.,Corruption
Funds allocated for a public project at the district office were diverted by officials in the Land Records Office for personal use.,Corruption
Materials meant for a government scheme in the central branch were sold off by a clerk in the Rural Development Office for personal profit.,Corruption
There is no functioning grievance redress system at the Education Department office in the taluk office.,Governance Issue
The tehsildar abused their authority by forcing subordinates at the taluk office to falsify inspection reports.,Official Misconduct
"To get my birth certificate cleared at the Police Department, the administrator openly asked for a 'facilitation fee' of Rs. 500.",Bribery
I want to report general dissatisfaction with the way the Sanitation Department handled my visit to Ward 5.,Other
The manager at the rural health center threatened a citizen for filing a complaint against the Police Department.,Official Misconduct
"To get my building permit cleared at the Electricity Board, the contractor openly asked for a 'facilitation fee' of Rs. 25,000.",Bribery
Records requested under the Right to Information Act from the Income Tax Office at the central branch were never provided.,Governance Issue
An audit revealed the Customs Department inflated contractor bills at Sector 12 to siphon off public money.,Corruption
Records requested under the Right to Information Act from the Public Works Department at the district office were never provided.,Governance Issue
Evidence shows the constable deliberately delayed processing a building permit to harass the applicant at Sector 12.,Official Misconduct
"Ghost employees were found on the payroll of the Municipal Corporation at Ward 5, with salaries pocketed by a tehsildar.",Corruption
Filing this report to flag a minor administrative error in my property registration at the Health Department.,Other
There is no functioning grievance redress system at the Customs Department office in the rural health center.,Governance Issue
The Housing Board repeatedly misses statutory deadlines for driving license processing across Block A with no explanation.,Governance Issue
"A commissioner in the Public Works Department refused to process my file unless I paid Rs. 1,00,000 under the table.",Bribery
This report concerns a procedural question about the Rural Development Office rather than a specific violation.,Other
I want to report general dissatisfaction with the way the Health Department handled my visit to Sector 12.,Other
"Patients at the government hospital in the northern zone office are being treated in unsanitary, overcrowded wards run by the Education Department.",Unsafe Public Service
"I was asked to pay a bribe of Rs. 50,000 to the sub-registrar to speed up my birth certificate application at the district office.",Bribery
Evidence shows the engineer deliberately delayed processing a tender document to harass the applicant at Block A.,Official Misconduct
A administrator in the Transport Department was found altering official records related to a passport application without authorization.,Official Misconduct
"I was asked to pay a bribe of Rs. 5,000 to the commissioner to speed up my business license application at Block A.",Bribery
This report concerns a procedural question about the Police Department rather than a specific violation.,Other
There is no functioning grievance redress system at the Electricity Board office in the municipal complex.,Governance Issue
The contractor at the Transport Department misused their position to favor a relative during tender document approval at the rural health center.,Official Misconduct
"The Police Department facility at the northern zone office has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
This report concerns a procedural question about the Revenue Department rather than a specific violation.,Other
Records requested under the Right to Information Act from the Sanitation Department at the district office were never provided.,Governance Issue
There is no functioning grievance redress system at the Public Works Department office in the rural health center.,Governance Issue
A council member at the Municipal Corporation was seen accepting gifts from a contractor in exchange for favorable treatment at the rural health center.,Official Misconduct
A constable at the Municipal Corporation was seen accepting gifts from a contractor in exchange for favorable treatment at the rural health center.,Official Misconduct
There is no functioning grievance redress system at the Customs Department office in the taluk office.,Governance Issue
The Water Supply Board repeatedly misses statutory deadlines for ration card processing across the municipal complex with no explanation.,Governance Issue
"Ghost employees were found on the payroll of the Income Tax Office at the central branch, with salaries pocketed by a surveyor.",Corruption
"I would like to commend a constable at Ward 5 for helpful service, but also note a small issue with wait times.",Other
"The council member took Rs. 10,000 from me and only then stamped my passport application at the Water Supply Board.",Bribery
"I would like to commend a surveyor at the taluk office for helpful service, but also note a small issue with wait times.",Other
"I was asked to pay a bribe of Rs. 10,000 to the clerk to speed up my driving license application at the regional headquarters.",Bribery
Funds allocated for a public project at the northern zone office were diverted by officials in the Income Tax Office for personal use.,Corruption
The officer abused their authority by forcing subordinates at Block A to falsify inspection reports.,Official Misconduct
Evidence shows the inspector deliberately delayed processing a pension file to harass the applicant at Block A.,Official Misconduct
The constable at the Health Department has not held a single accountability meeting with residents of Block A in over a year.,Governance Issue
Decisions at the Health Department regarding the district office are made without any public consultation or transparency.,Governance Issue
